participantNr	age	female	E1_1	X_1	E2_1	E1_2	X_2	E2_2	E1_3	X_3	E2_3	E1_4	X_4	E2_4	E1_5	X_5	E2_5
1	11	1	40	50	45	40	46	45	35	42	40	40	46	45	30	38	35
2	10	1	32	40	37	43	50	39	27	32	28	24	31	31	41	52	31
3	12	0	34	42	37	31	36	33	28	34	28	43	49	43	36	45	39
4	10	0	47	59	57	40	46	49	37	44	45	57	48	54	32	40	30
5	12	1	61	46	54	60	51	60	82	65	72	89	77	87	85	64	85
6	12	1	58	44	53	62	53	60	52	42	50	64	54	64	57	71	62
7	12	0	50	62	55	80	68	80	50	60	58	80	68	80	60	45	52
8	11	1	48	60	57	61	52	58	48	57	51	73	63	64	54	67	58
9	11	1	35	44	40	25	29	26	30	36	34	48	55	51	34	43	36
10	10	1	35	44	44	50	42	43	36	43	42	50	57	50	33	41	33
11	10	1	24	28	26	27	32	28	27	32	29	30	34	32	28	35	29
12	11	0	30	37	30	49	57	49	39	47	39	50	57	50	40	50	40
13	11	1	35	44	43	36	41	40	40	48	41	50	57	51	51	64	59
14	12	1	60	45	50	45	52	48	37	44	37	51	59	51	43	54	49
15	12	1	49	62	57	51	43	46	35	42	41	52	60	59	50	61	58
16	12	1	38	47	45	43	50	43	30	36	31	53	45	47	25	31	25
17	12	1	50	63	60	60	51	50	40	48	45	50	57	55	45	56	55
18	11	1	59	44	59	62	53	62	42	50	45	65	55	63	38	47	47
19	11	1	50	62	50	69	59	69	51	40	51	52	44	52	49	61	49
20	10	0	30	37	40	60	51	60	50	40	50	90	77	90	42	52	41
21	11	1	53	40	49	35	40	38	45	54	54	70	60	70	40	50	40
22	11	0	50	62	55	56	48	53	56	45	55	60	51	60	55	69	57
23	11	1	30	37	36	39	45	40	40	48	42	60	51	53	40	50	48
24	11	1	20	26	24	45	52	48	56	45	50	75	64	70	75	56	70
25	11	0	65	49	65	70	60	70	62	50	55	71	60	71	67	50	67
26	11	0	64	48	48	98	75	98	36	43	36	60	51	60	42	52	42
27	11	0	35	44	40	45	52	50	30	36	35	50	57	55	40	50	45
28	11	1	50	62	55	60	51	58	45	54	50	80	68	75	60	45	50
29	11	0	80	60	75	50	57	55	50	60	50	70	60	65	45	56	48
30	12	0	35	44	39	49	57	53	55	44	49	61	52	57	32	40	35
31	10	1	65	49	55	52	44	48	49	59	54	68	58	54	65	49	55
33	11	0	30	38	35	50	42	40	30	36	35	50	57	45	32	40	32
34	11	1	80	60	75	30	35	30	55	44	45	55	47	48	34	43	34
35	11	1	65	49	50	40	46	45	30	36	25	45	52	50	30	38	35
36	10	1	65	49	55	39	45	55	45	54	50	45	52	50	35	44	35
37	11	1	50	62	58	61	52	50	50	60	59	72	61	60	53	66	64
38	10	0	40	50	40	50	42	50	35	42	35	35	40	35	30	38	35
39	10	1	60	45	46	40	46	45	27	32	30	55	47	47	25	31	30
40	12	0	85	64	72	65	54	60	45	54	50	70	60	65	52	66	58
41	11	1	28	35	27	40	46	43	36	43	35	53	45	50	43	54	48
42	10	0	32	40	42	45	52	52	40	48	42	45	52	45	52	64	52
51	16	0	56	42	56	65	54	65	59	47	50	60	51	60	49	61	55
52	17	0	85	64	85	75	65	75	65	52	65	60	51	60	55	69	55
53	14	1	60	45	50	66	57	60	49	59	55	70	59	65	40	50	45
54	17	1	120	87	100	110	75	100	50	40	50	70	59	65	70	52	65
55	13	1	100	70	80	100	75	87	65	52	65	72	61	72	59	44	59
56	16	0	35	44	37	55	47	55	53	42	49	88	73	80	70	53	60
57	13	1	55	42	50	80	68	80	55	44	55	77	65	75	50	61	55
58	17	0	103	70	100	56	48	56	45	54	47	55	47	53	40	50	42
59	13	0	50	63	55	90	75	85	34	40	34	70	59	68	75	56	68
60	13	1	60	45	55	60	51	55	50	40	50	70	59	65	60	45	55
61	16	1	80	60	80	70	60	68	65	52	62	80	68	80	45	56	50
62	13	1	55	42	50	45	52	50	48	57	52	66	56	63	50	64	55
63	17	0	110	87	95	85	71	80	60	48	56	75	64	72	60	45	55
64	14	0	65	49	55	75	65	70	39	47	40	64	54	57	62	47	55
65	17	0	86	64	86	72	62	69	76	61	76	65	55	63	57	71	62
66	15	0	43	54	46	39	45	43	56	45	50	48	55	50	33	41	36
67	15	0	50	62	60	55	47	50	35	42	38	60	51	55	45	56	50
68	17	0	36	45	40	65	54	60	60	48	55	66	56	60	50	64	55
69	14	0	85	64	70	60	51	55	45	54	50	70	60	65	55	69	65
70	14	0	40	50	60	65	54	55	44	53	54	81	69	58	41	52	56
71	15	1	55	42	50	50	42	50	38	46	38	60	51	60	60	45	60
72	14	0	55	42	55	70	59	65	75	60	75	65	55	65	65	49	60
73	16	1	35	44	40	45	52	48	32	38	35	42	48	42	48	60	50
74	15	1	70	52	65	47	54	47	39	47	47	85	72	85	56	70	60
75	14	0	66	49	50	60	51	55	68	54	60	90	77	100	63	47	60
76	15	0	40	50	40	70	59	70	30	36	36	60	51	55	40	50	40
77	16	0	72	54	65	45	52	45	68	54	68	80	68	80	80	60	81
78	17	1	110	87	100	90	75	86	50	40	50	55	47	53	50	61	51
79	16	0	69	52	60	64	54	57	53	42	49	64	54	59	54	67	60
80	15	0	55	42	49	68	58	68	43	52	47	71	60	64	65	49	60
81	15	0	70	52	65	80	68	78	48	57	53	75	64	72	37	46	37
82	16	0	60	45	55	55	47	55	55	44	55	60	51	60	55	69	55
83	15	1	50	62	55	42	48	42	33	40	35	55	47	52	30	38	34
84	14	0	70	53	70	65	54	60	57	46	57	60	51	60	45	56	45
85	17	0	100	70	90	50	57	55	35	42	35	75	64	70	100	75	100
86	14	0	50	63	50	60	51	60	45	54	45	90	77	90	55	69	55
87	13	0	50	62	60	75	65	73	70	56	55	90	77	80	50	64	65
88	15	1	40	50	45	60	51	55	45	54	45	60	51	56	54	67	58
89	13	1	50	62	57	70	60	65	45	54	50	70	60	65	65	49	60
90	16	0	56	42	52	47	54	49	45	54	47	54	46	54	42	52	46
91	13	0	50	62	70	90	75	85	60	48	65	69	59	65	69	52	68
