participantNr	age	female	BEAST_S	move1	move2	move3	comply1	comply2	comply3	DG_self_SELFISH	DG_self_withSocInfo_SELFISH	DG_self_FAIR	DG_self_withSocInfo_FAIR	factor_S	factor_S2
1	11	1	0.701190476	12536	8480	12479	1	0	1	10	10	5	6	NA	NA
2	10	1	0.608333333	12856	14320	12696	1	1	1	8	10	7	6	0.762189581	-1.147013267
3	12	0	0.221666667	13504	2168	12760	1	0	1	10	10	10	5	0.429322744	-1.264105968
4	10	0	0.583333333	13073	3631	10744	1	0	0	7	7	6	8	0.44456595	-1.196154401
5	12	1	0.244313725	3752	12600	12548	0	1	1	6	9	6	7	0.279839214	-1.326744939
6	12	1	0.227301587	5664	14048	12504	0	1	1	10	8	6	5	0.442076431	-1.261127047
7	12	0	0.35	3480	2560	8744	0	0	0	10	10	10	5	0.378952523	-1.378557063
8	11	1	0.524871795	5799	3088	6104	0	0	0	9	9	10	9	0.051414846	-1.465421355
9	11	1	0.424603175	12799	4488	12513	1	0	1	6	8	8	6	0.553968304	-1.193505415
10	10	1	0.546428571	11456	12024	12712	0	1	1	5	5	5	5	0.361058941	-1.215703614
11	10	1	0.348571429	13568	10952	12664	1	0	1	5	10	5	6	0.716855144	-1.020551211
12	11	0	0	8736	2528	2184	0	0	0	8	10	10	10	-0.820439986	-1.62058379
13	11	1	0.514426129	14127	7119	17328	1	0	1	5	8	10	10	0.529637936	-1.230727536
14	12	1	0.328138528	10480	12711	12624	0	1	1	5	10	7	5	0.670515753	-1.207765945
15	12	1	0.73996004	12615	4496	3039	1	0	0	5	8	10	5	1.445863251	-1.049033443
16	12	1	0.338888889	12848	6768	8376	1	0	0	5	6	10	10	-0.02757491	-1.470257927
17	12	1	0.754401848	12712	12703	12616	1	1	1	5	5	6	5	0.891515417	-1.315581827
18	11	1	0.315	3552	2327	13104	0	0	1	10	10	10	5	0.299730756	-1.310914121
19	11	1	0	12679	2928	2288	1	0	0	10	10	7	6	-0.47113501	-1.442398272
20	10	0	0	12664	3840	4712	1	0	0	5	6	5	5	-0.710476279	-1.444301883
21	11	1	0.381538462	13608	4087	12664	1	0	1	10	9	8	5	0.791656951	-1.091359254
22	11	0	0.20508658	14641	3384	2624	1	0	0	7	7	5	5	-0.408993987	-1.483069731
23	11	1	0.57031746	2032	11215	12680	0	0	1	5	10	6	5	0.876592614	-1.179262457
24	11	1	0.48245614	5240	3559	2663	0	0	0	6	8	10	5	0.477853088	-1.297394619
25	11	0	0.116666667	2760	12455	12368	0	1	1	7	8	5	5	-0.341718795	-1.430580315
26	11	0	0.2	3608	2720	7536	0	0	0	5	5	5	5	-0.768941822	-1.663551347
27	11	0	0.663492063	4008	2104	12863	0	0	1	9	10	8	7	0.819904133	-1.228301571
28	11	1	0.455555556	2535	12712	12592	0	1	1	NA	NA	5	5	NA	NA
29	11	0	0.347402597	7968	7591	13032	0	0	1	5	6	6	4	-0.271093424	-1.528152491
30	12	0	0.461868687	9888	16608	7008	0	1	0	6	7	6	5	0.671945864	-1.249143444
31	10	1	0.5625	10032	12512	7264	0	1	0	8	9	10	9	0.678805308	-1.102229719
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	10	NA	NA	NA	NA
33	11	0	0.486111111	12608	2920	3415	1	0	0	5	5	5	5	0.224685551	-1.335242196
34	11	1	0.406818182	13088	3343	12657	1	0	1	8	8	9	7	0.246019832	-1.302541683
35	11	1	0.777529762	17703	3344	14445	1	0	1	10	10	8	6	1.423599519	-0.980679684
36	10	1	0.473710317	5145	11072	12728	0	0	1	8	10	10	5	0.658597532	-1.143592765
37	11	1	0.804273504	12703	8200	5624	1	0	0	5	7	6	4	1.26873877	-1.046804908
38	10	0	0.125	12945	3144	2631	1	0	0	5	5	10	10	-0.589108574	-1.438004592
39	10	1	0.84	13400	3303	3288	1	0	0	5	10	10	10	1.431164994	-0.908897859
40	12	0	0.511544012	5640	12384	17456	0	1	1	5	0	NA	NA	NA	NA
41	11	1	0.443181818	4144	13224	12768	0	1	1	6	8	NA	NA	0.529053723	-1.208611107
42	10	0	0.3125	12625	3312	12656	1	0	1	5	5	NA	NA	-0.167103887	-1.339307643
43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	6	NA	NA
44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	9	NA	NA
45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	NA	NA
46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5	NA	NA
47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	16	0	0.25	2761	2528	2136	0	0	0	10	10	6	6	-0.654762354	-2.072052556
52	17	0	0	12416	12512	12503	1	1	1	5	5	5	5	-1.226898893	-2.292292352
53	14	1	0.577575758	12663	5232	12577	1	0	1	8	10	7	5	1.2374333	-1.251359506
54	17	1	0.324819625	12936	12672	12975	1	1	1	5	5	5	5	-0.484126956	-2.120137636
55	13	1	0.237333333	13088	12592	2328	1	1	0	10	10	10	10	-0.683676449	-1.817267231
56	16	0	0.341485443	2624	2679	2392	0	0	0	5	5	10	10	-0.446154014	-2.023833675
57	13	1	0.201165501	13577	3512	2672	1	0	0	10	10	10	10	-0.417817093	-1.658770549
58	17	0	0.152626263	9849	6423	12576	0	0	1	10	10	10	10	-0.877236157	-2.211267001
59	13	0	0.25363759	16476	4872	2751	1	0	0	5	6	5	5	-0.139777521	-1.572279156
60	13	1	0.335353535	14272	3927	12695	1	0	1	5	7	5	5	0.204834986	-1.470211957
61	16	1	0.177062937	12456	12376	12408	1	1	1	10	10	10	10	-0.821361207	-2.110552208
62	13	1	0.44009768	12976	12483	12512	1	1	1	5	5	5	5	-0.221724263	-1.711349423
63	17	0	0.389742142	11953	3608	12440	0	0	1	10	10	10	10	-0.336272987	-2.085854597
